"long","lat","order","hole","piece","group","id"
-1091778.0125,6910138.4807,374,FALSE,"1","Clare.1","Clare"
-1090258.0868,6913912.764,375,FALSE,"1","Clare.1","Clare"
-1083701.2314,6917205.9365,376,FALSE,"1","Clare.1","Clare"
-1077588.8105,6923199.5451,377,FALSE,"1","Clare.1","Clare"
-1077203.0976,6924149.8461,378,FALSE,"1","Clare.1","Clare"
-1074115.2457,6923928.7006,379,FALSE,"1","Clare.1","Clare"
-1075337.147,6926300.3592,380,FALSE,"1","Clare.1","Clare"
-1074322.1232,6928622.7068,381,FALSE,"1","Clare.1","Clare"
-1070468.5355,6930580.3829,382,FALSE,"1","Clare.1","Clare"
-1072510.7736,6932975.0574,383,FALSE,"1","Clare.1","Clare"
-1069580.1113,6933785.96,384,FALSE,"1","Clare.1","Clare"
